make,model,year,vehicle_class,class_simple,engine_displacement_l,cylinders,displacement_per_cyl,fuel_type,fuel_simple,fuel_enc,city_mpg,highway_mpg,combined_mpg,hwy_city_ratio,co2_grams_per_mile,co2_per_mpg,cd,aero_efficiency,year_rel
Chevrolet,HHR FWD,2010,Sport Utility Vehicle - 2WD,Other,2.0,4.0,0.5,Regular,regular,3,21,29,24,1.380952380952381,,,,,0
Chevrolet,HHR FWD,2010,Sport Utility Vehicle - 2WD,Other,2.0,4.0,0.5,Regular,regular,3,19,29,23,1.5263157894736843,,,,,0
Dodge,Journey  2WD,2010,Sport Utility Vehicle - 2WD,Other,2.4,4.0,0.6,Regular,regular,3,19,25,21,1.3157894736842106,,,,,0
Dodge,Journey  2WD,2010,Sport Utility Vehicle - 2WD,Other,3.5,6.0,0.5833333333333334,Regular,regular,3,16,24,19,1.5,,,,,0
Dodge,Nitro 2WD,2010,Sport Utility Vehicle - 2WD,Other,4.0,6.0,0.6666666666666666,Regular,regular,3,16,21,18,1.3125,,,,,0
Ford,Edge FWD,2010,Sport Utility Vehicle - 2WD,Other,3.5,6.0,0.5833333333333334,Regular,regular,3,18,25,20,1.3888888888888888,,,,,0
Ford,Explorer 2WD,2010,Sport Utility Vehicle - 2WD,Other,4.6,8.0,0.575,Regular,regular,3,15,21,17,1.4,,,,,0
Ford,Explorer 2WD,2010,Sport Utility Vehicle - 2WD,Other,4.0,6.0,0.6666666666666666,Regular,regular,3,14,20,16,1.4285714285714286,,,,,0
Ford,Flex FWD,2010,Sport Utility Vehicle - 2WD,Other,3.5,6.0,0.5833333333333334,Regular,regular,3,17,24,20,1.411764705882353,,,,,0
Gmc,Terrain FWD,2010,Sport Utility Vehicle - 2WD,Other,3.0,6.0,0.5,Regular,regular,3,17,25,20,1.4705882352941178,,,,,0
Honda,Pilot 2WD,2010,Sport Utility Vehicle - 2WD,Other,3.5,6.0,0.5833333333333334,Regular,regular,3,17,23,19,1.3529411764705883,,,,,0
Hyundai,Veracruz 2WD,2010,Sport Utility Vehicle - 2WD,Other,3.8,6.0,0.6333333333333333,Regular,regular,3,17,23,19,1.3529411764705883,,,,,0
Infiniti,QX56 2WD,2010,Sport Utility Vehicle - 2WD,Other,5.6,8.0,0.7,Premium,premium,2,12,18,14,1.5,,,,,0
Jeep,Commander 2WD,2010,Sport Utility Vehicle - 2WD,Other,5.7,8.0,0.7125,Regular,regular,3,14,20,16,1.4285714285714286,,,,,0
Jeep,Compass 2WD,2010,Sport Utility Vehicle - 2WD,Other,2.0,4.0,0.5,Regular,regular,3,23,29,25,1.2608695652173914,,,,,0
Jeep,Grand Cherokee 2WD,2010,Sport Utility Vehicle - 2WD,Other,3.7,6.0,0.6166666666666667,Regular,regular,3,16,21,18,1.3125,,,,,0
Jeep,Grand Cherokee 2WD,2010,Sport Utility Vehicle - 2WD,Other,5.7,8.0,0.7125,Regular,regular,3,14,20,16,1.4285714285714286,,,,,0
Jeep,Patriot 2WD,2010,Sport Utility Vehicle - 2WD,Other,2.0,4.0,0.5,Regular,regular,3,23,29,25,1.2608695652173914,,,,,0
